name,product_type,brand,price,currency,color,size,material,gender,season,availability_status,description,image_url,product_url,trend_id
Classic White Sneakers,sneakers,Nike,89.99,USD,White,9,Leather,unisex,all-season,in_stock,"Clean white leather sneakers with minimal design perfect for everyday wear",https://example.com/sneaker1.jpg,https://shop.example.com/white-sneakers,1
Premium Running Shoes,sneakers,Adidas,129.00,USD,Black/Red,10,Mesh/Rubber,male,spring,in_stock,"High-performance running shoes with advanced cushioning technology",https://example.com/sneaker2.jpg,https://shop.example.com/running-shoes,1
Vintage Tennis Court Shoes,sneakers,Converse,75.50,USD,Navy,8,Canvas,female,summer,in_stock,"Retro-inspired canvas sneakers with classic court styling",https://example.com/sneaker3.jpg,https://shop.example.com/tennis-shoes,1
Designer High-Top Sneakers,sneakers,Balenciaga,550.00,EUR,Multi,7,Leather/Mesh,unisex,fall,pre_order,"Luxury high-top sneakers with contemporary street style design",https://example.com/sneaker4.jpg,https://shop.example.com/designer-sneakers,1
Eco-Friendly Runners,sneakers,Allbirds,95.00,USD,Gray,9.5,Wool,unisex,all-season,in_stock,"Sustainable running shoes made from merino wool and recycled materials",https://example.com/sneaker5.jpg,https://shop.example.com/eco-runners,1
Summer Leather Sandals,sandals,Birkenstock,120.00,USD,Brown,8,Leather,unisex,summer,in_stock,"Premium leather sandals with ergonomic footbed design",https://example.com/sandal1.jpg,https://shop.example.com/leather-sandals,2
Beach Flip Flops,sandals,Havaianas,25.00,USD,Blue,9,Rubber,unisex,summer,in_stock,"Comfortable rubber flip flops perfect for beach and pool",https://example.com/sandal2.jpg,https://shop.example.com/flip-flops,2
Strappy Heeled Sandals,sandals,Steve Madden,89.00,USD,Black,7,Synthetic,female,spring,in_stock,"Elegant strappy sandals with 3-inch heel for evening wear",https://example.com/sandal3.jpg,https://shop.example.com/heeled-sandals,2
Hiking Sandals,sandals,Teva,75.00,USD,Olive,10,Nylon/Rubber,male,summer,in_stock,"Durable outdoor sandals with adjustable straps and grip sole",https://example.com/sandal4.jpg,https://shop.example.com/hiking-sandals,2
Minimalist Slide Sandals,sandals,Yeezy,200.00,USD,Beige,8.5,Foam,unisex,summer,out_of_stock,"Modern slide sandals with sculpted foam construction",https://example.com/sandal5.jpg,https://shop.example.com/slide-sandals,2
Chelsea Ankle Boots,boots,Dr. Martens,150.00,USD,Black,8,Leather,unisex,fall,in_stock,"Classic Chelsea boots with elastic side panels and air-cushioned sole",https://example.com/boot1.jpg,https://shop.example.com/chelsea-boots,3
Winter Snow Boots,boots,Sorel,180.00,USD,Brown,9,Waterproof Leather,unisex,winter,in_stock,"Insulated winter boots designed for harsh weather conditions",https://example.com/boot2.jpg,https://shop.example.com/snow-boots,3
Combat Style Boots,boots,Timberland,220.00,USD,Black,10,Nubuck,male,fall,in_stock,"Rugged combat-style boots with premium leather construction",https://example.com/boot3.jpg,https://shop.example.com/combat-boots,3
Knee-High Fashion Boots,boots,Stuart Weitzman,450.00,USD,Tan,7,Suede,female,fall,discontinued,"Luxurious knee-high boots in soft suede with block heel",https://example.com/boot4.jpg,https://shop.example.com/knee-boots,3
Hiking Trail Boots,boots,Merrell,130.00,USD,Gray,9.5,Synthetic/Mesh,unisex,all-season,in_stock,"Technical hiking boots with waterproof membrane and Vibram sole",https://example.com/boot5.jpg,https://shop.example.com/hiking-boots,3
Ballet Flats Classic,flats,Repetto,280.00,USD,Pink,6.5,Leather,female,spring,in_stock,"Iconic ballet flats handcrafted in France with premium leather",https://example.com/flat1.jpg,https://shop.example.com/ballet-flats,4
Loafers Business,flats,Cole Haan,150.00,USD,Brown,8,Leather,male,all-season,in_stock,"Professional leather loafers with modern comfort technology",https://example.com/flat2.jpg,https://shop.example.com/loafers,4
Canvas Slip-Ons,flats,Vans,55.00,USD,White,9,Canvas,unisex,spring,in_stock,"Casual canvas slip-on shoes with signature waffle outsole",https://example.com/flat3.jpg,https://shop.example.com/slip-ons,4
Pointed Toe Flats,flats,Tory Burch,220.00,USD,Navy,7,Patent Leather,female,spring,in_stock,"Sophisticated pointed toe flats with gold hardware detail",https://example.com/flat4.jpg,https://shop.example.com/pointed-flats,4
Espadrille Flats,flats,Soludos,75.00,USD,Natural,8,Canvas/Jute,female,summer,in_stock,"Classic espadrille flats with braided jute sole and canvas upper",https://example.com/flat5.jpg,https://shop.example.com/espadrilles,4
Stiletto High Heels,heels,Christian Louboutin,795.00,USD,Red,6,Patent Leather,female,all-season,in_stock,"Iconic red sole stiletto heels with 4-inch heel height",https://example.com/heel1.jpg,https://shop.example.com/stilettos,5
Block Heel Pumps,heels,Nine West,89.00,USD,Black,7.5,Synthetic,female,all-season,in_stock,"Professional block heel pumps perfect for office wear",https://example.com/heel2.jpg,https://shop.example.com/block-heels,5
Wedge Heel Sandals,heels,Castaner,180.00,USD,Tan,8,Leather/Rope,female,summer,pre_order,"Espadrille wedge sandals with ankle strap and rope platform",https://example.com/heel3.jpg,https://shop.example.com/wedge-sandals,5
Platform High Heels,heels,Jeffrey Campbell,145.00,USD,Silver,6.5,Metallic,female,spring,in_stock,"Bold platform heels with metallic finish and statement design",https://example.com/heel4.jpg,https://shop.example.com/platform-heels,5
Kitten Heel Mules,heels,Manolo Blahnik,650.00,USD,Beige,7,Suede,female,spring,in_stock,"Elegant kitten heel mules in luxurious suede with 2-inch heel",https://example.com/heel5.jpg,https://shop.example.com/kitten-heels,5